,"(1, 0)","(0, 1)","(3, 0)","(0, 3)","(2, 0)","(0, 2)","(4, 0)","(0, 4)"
0,2.0:32.1,33.1:33.2,2.0:34.300000000000004,35.300000000000004:35.400000000000006,2.0:36.50000000000001,37.50000000000001:37.60000000000001,2.0:38.70000000000001,39.70000000000001:39.80000000000001
1,381.2:381.3,382.3:392.40000000000003,611.4:611.5,612.5:622.6,187.60000000000002:187.70000000000002,188.70000000000002:188.8,45.80000000000001:189.9,190.9:191.0
2,,,,,254.8:254.9,255.9:256.0,,
